n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
482,2747636,2747154,11.82674196,1.91434913,0.53869334
483,2753056,2752573,11.80105363,1.90955046,0.53696653
484,2792141,2791657,11.91918670,1.92802054,0.54178121
485,2844728,2844243,12.09364651,1.95558786,0.54914420
486,2889679,2889193,12.23424190,1.97766397,0.55495648
487,2162,1675,0.00911586,0.00147309,0.00041308
488,2927837,2927349,12.29439751,1.98606964,0.55654123
489,2940146,2939657,12.29564112,1.98561391,0.55602811
490,2961485,2960995,12.33438151,1.99121316,0.55721056
491,935,444,0.00387836,0.00062590,0.00017503
492,717,225,0.00296203,0.00047786,0.00013354
493,2962,2469,0.01218684,0.00196546,0.00054887
494,2979214,2978720,12.20809225,1.96824222,0.54926804
495,592,97,0.00241608,0.00038940,0.00010859
496,1175,679,0.00477611,0.00076952,0.00021445
497,5679,5182,0.02299107,0.00370311,0.00103129
498,3044924,3044426,12.27772133,1.97689775,0.55017785
499,3080237,3079738,12.37038004,1.99117405,0.55377426
500,1675,1175,0.00670000,0.00107810,0.00029963
501,8115,7614,0.03233055,0.00520068,0.00144442
502,4281,3779,0.01698783,0.00273178,0.00075820
503,7539,7036,0.02979736,0.00479012,0.00132860
504,3097558,3097054,12.19434209,1.95969347,0.54317917
505,3144796,3144291,12.33132438,1.98107617,0.54873673
506,3197461,3196955,12.48832586,2.00566166,0.55517380
507,3255651,3255144,12.66548790,2.03346962,0.56249407
508,3328626,3328118,12.89845155,2.07021747,0.57227625
509,3346748,3346239,12.91776703,2.07266342,0.57256996
510,1135,625,0.00436371,0.00069994,0.00019323
511,592,81,0.00226715,0.00036354,0.00010029
512,3361552,3361040,12.82330322,2.05556844,0.56671529
513,679,166,0.00258009,0.00041346,0.00011391
514,3378083,3377569,12.78627610,2.04835290,0.56397846
515,1450,935,0.00546706,0.00087555,0.00024091
516,3453268,3452752,12.96972838,2.07645000,0.57096046
517,717,200,0.00268249,0.00042933,0.00011798
518,1492,974,0.00556044,0.00088967,0.00024431
519,935,416,0.00347118,0.00055522,0.00015237
520,3476773,3476253,12.85788831,2.05600260,0.56385570
521,3542884,3542363,13.05213288,2.08642174,0.57182432
522,3556777,3556255,13.05315908,2.08594639,0.57132125
523,3585136,3584613,13.10696855,2.09390494,0.57312772
524,3602174,3601650,13.11904172,2.09519431,0.57310800
525,37789,37264,0.13710295,0.02188955,0.00598366
526,592,66,0.00213969,0.00034151,0.00009329
527,37918,37391,0.13652877,0.02178465,0.00594729
528,625,97,0.00224188,0.00035761,0.00009757
529,3621006,3620477,12.93951208,2.06339275,0.56258748
530,974,444,0.00346743,0.00055276,0.00015062
531,6210,5679,0.02202432,0.00350999,0.00095577
532,6282,5750,0.02219600,0.00353628,0.00096232
533,3655554,3655021,12.86763655,2.04946924,0.55735921
534,3689182,3688648,12.93741671,2.05996836,0.55985678
535,679,144,0.00237226,0.00037761,0.00010256
536,3740021,3739485,13.01800582,2.07156714,0.56229221
537,3780993,3780456,13.11164862,2.08584992,0.56580940
538,3863007,3862469,13.34630188,2.12255122,0.57539993
539,3871835,3871296,13.32721215,2.11888948,0.57404366
540,1675,1135,0.00574417,0.00091299,0.00024719
